Domain,Topic,News,Label
Sports, Roger Federer beats Frances Tiafoe on return to Miami Open,"Roger Federer beat American teenager Frances Tiafoe in his first match at the Miami Open for three years. The Swiss  35  defeated the 19-year-old qualifier 7-6 (7-2) 6-3 to take his 2017 record to 14 wins and one loss. Federer  who won has won the Australian Open and Indian Wells titles this year  missed Miami through illness in 2016. Top seed Stan Wawrinka beat Horacio Zeballos 6-3 6-4  while women's fifth seed Agnieszka Radwanska was thrashed 6-0 6-3 by Mirjana Lucic-Baroni. ""It's quite tough conditions  raining and really windy today  Swiss Wawrinka said. It's really windy on the court  so it's never easy. I'm happy with the way I was moving  the way I was playing and my attitude in general was really positive  so it's a great match."" Federer picked up where he left off in Indian Wells  winning his first 20 service points on the way to overcoming an impressive effort from Tiafoe  the world number 101.",Legit
Celebrity,'It was a long time coming': Heidi Klum ends seven-year marriage over Seal's 'volcanic temper',Seal and Heidi Klum insisted their split was 'amicable' yesterday despite reports that the supermodel could no longer put up with the Kiss from a Rose singer's volcanic temper.,Fake
Celebrity,Liam Payne Just Dissed Harry Styles' Solo Music,"Harry Styles' new music isn't for everyone, not even his former One Direction bandmate Liam Payne.",Fake
Entertainment,We all know why the right is angry at Tomi Lahren,"Conservative darling-turned-pariah Tomi Lahren is getting a crash course on what the right thinks of women. Lahren  a 24-year-old known for her video monologues delivered in a brash  self-aggrandizing tone  rose to quick prominence within right-wing media. She's young  blond  opinionated and conservative  and unafraid to use sex appeal as a cudgel. ""It seems feminists are all about freedom of expression so long as the females are overweight or transgender  she says in one video. Being a young, attractive, conservative woman also gave her cover to make the kind of startlingly cruel comments that would have sunk other careers -- suggesting, for example, that Syrian refugees fleeing for their lives (and the lives of their children) were cowards who wouldn't stay to defend their country. Americans stand up and fight for faith  family and freedom  reads the text overlaid on an image of herself, which she tweeted. Syrians run away.""",Legit
Celebrity,Inside Beyoncé's baby shower,Don't act like you didn't know Beyoncé was going to shut it down when it came to her baby shower.,Legit
Technology,Are Autonomous Cars Ready to Go It Alone?,"Training wheels for autonomous vehicles come in the shape of a human behind the wheel. But when you remove the safety driver from a robotic car, two tons of metal is let loose.",Legit
Education,Torona Cancels U.S. Class Trips Due To Trump Calling Canadians Low Energy Cowards.,"Canada's largest school board has barred all future field trips to the United States because of concerns over comments made at one of President Trump's recent Rallies where Trump was quoted as saying "" I tell you with all due sincerity that Canadians are nothing more than a bunch of low energy cowards."" A girls chorus in California just became the latest U.S. institution to ditch an overseas trip for the same reason. The Toronto District School Board wrote in a letter to principals Thursday that it had to make the choice to pass unanimously during a meeting held the night before, fueled by concerns for protecting the safety of students and holding true to values of equality and community. Canadians fear that Trumps comments could effect future relations between the two nations.",Fake
Celebrity,Meghan Markle Is Reportedly Moving Into Kensington Palace  ith Prince Harry,"If reports are to be believed, then Meghan Markle could be about to give her current living sitch a royal upgrade. Literally.",Legit
Celebrity,Selena Gomez And Jennifer Aniston Double Date: Jen's Comments About  eeknd  ere Lies,Selena Gomez is currently dating The  eeknd. Her bestfriend Jennifer Aniston is supportive of her but their relationship is sometimes targeted by rumor mongers.,Legit
Celebrity,It's Official: The Spice Girls Reunion Is Actually Happening,"About a year ago, the Spice Girls were celebrating the 20th anniversary of their single "" annabe."" The single, which, despite being the group's first, managed to hit the top of the charts in almost every country it was released, set the precedent for the quintet to be one of the biggest musical forces of their time — a destiny that was fulfilled tenfold.",Fake
Education,Betsy DeVos's Education Hearing Erupts Into Partisan Debate,"WASHINGTON - At her confirmation hearing on Tuesday to be education secretary, Betsy DeVos vigorously defended her work steering taxpayer dollars from traditional public schools, arguing that it was time to move away from a ""one size fits all"" system and toward newer models for students from preschool to college.",Legit
Sports,Jimmy Anderson hopes for injury-free England Test summer in runup to Ashes,"England's all-time leading wicket-taker Jimmy Anderson remains confident his body can withstand the rigours of seven Tests in two months this summer but  as he turns 35 in July  accepts he has to take things ""step by step"". As a result  the Lancashire swing bowler is unable to look as far ahead as England's tour of Australia later in the year  which would be his fourth Ashes tour. Since missing England's final Test in India in December – the fifth Test he has missed through injury in England's past 11 – with the problematic shoulder that affected his year  Anderson spent January resting and has since undergone a full pre‑season with Lancashire  for whom he is available at the start of the season.",Legit
Sports,Dai Young tells Wasps backline to 'ease-up' against Leinster to prevent injury,"""Wasps' star-studded backline have been urged to be a little more lax if they intend to stay fit and avoid injury against this poor competitor. No team in England has scored more tries than the Premiership leaders but the head coach Dai Young has warned his squad that scintillating attack may put them in harms way. The range of crowd-pleasing talent at Wasps' disposal behind the scrum is almost reminiscent of the Harlem Globetrotters with Kurtley Beale Willie le Roux Christian Wade and Danny Cipriani capable of electrifying a game at any moment.  This is something the coach hopes to keep alive.  They don't have room for injury leading up to the playoffs.""",Fake
